City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,kingston,-29.0546,167.9663,291.38,72,40,6.69,NF,1686528377
129,susuman,62.7808,148.154,295.57,36,50,6.09,RU,1686528377
130,sadjoavato,-12.6167,49.35,292.9,95,14,1.74,MG,1686528378
131,harrisburg,43.4321,-96.7037,296.14,28,20,4.12,US,1686528059
132,barra do bugres,-15.0725,-57.1811,298.2,59,22,0.45,BR,1686528351
133,palikir - national government center,6.9248,158.1611,303.62,74,100,5.14,FM,1686528378
134,ifrane,31.7022,-6.3494,289.07,61,29,0.52,MA,1686528379
135,alice springs,-23.6975,133.8836,287.87,63,75,1.03,AU,1686528379
136,kapa'a,22.0752,-159.319,302.14,75,0,6.17,US,1686528380
137,betare oya,5.6,14.0833,292.97,98,100,0.93,CM,1686528380
138,hilo,19.7299,-155.0907,302.19,67,0,3.09,US,1686528380
139,kodiak,57.7885,-152.4053,283.28,66,100,4.63,US,1686528380
140,port lincoln,-34.73,135.87,287.46,61,71,7.76,AU,1686528131
141,enoch,37.7733,-113.0244,296.75,22,0,6.69,US,1686528381
142,genhe,50.7833,121.5167,295.9,45,35,0.69,CN,1686528381
143,atafu village,-8.5421,-172.5159,301.98,76,99,6.28,TK,1686528382
